sid,dt,p1,p2
2446,2023-09-19 14:00:00,4.69625,0.91249996
2446,2023-10-09 22:00:00,4.835,0.92499995
2446,2023-09-20 00:00:00,4.816,0.916
2446,2023-10-02 20:00:00,4.7683334,0.88
2446,2023-09-25 04:00:00,4.9144444,0.87777776
2446,2023-10-09 20:00:00,4.744,0.90599996
2446,2023-10-07 23:00:00,4.809,0.967
2446,2023-09-19 00:00:00,4.891111,1.1677778
2446,2023-10-02 18:00:00,4.779,0.98800004
2446,2023-09-20 02:00:00,4.848,0.902
2446,2023-09-25 23:00:00,4.8645453,0.90999997
2446,2023-10-07 20:00:00,4.7799997,0.9430769
2446,2023-10-09 05:00:00,4.8,0.85
2446,2023-09-30 21:00:00,5.0416665,1.3283333
2446,2023-10-02 16:00:00,4.73375,0.88374996
2446,2023-10-09 01:00:00,4.8625,1.00125
2446,2023-09-24 02:00:00,4.8500004,0.9
2446,2023-09-19 02:00:00,4.7188888,0.92
2446,2023-10-03 23:00:00,4.8391666,0.9316667
2446,2023-10-09 04:00:00,4.8,0.9
2446,2023-10-02 02:00:00,4.87,0.91249996
2446,2023-10-02 06:00:00,4.8137503,0.935
2446,2023-10-08 11:00:00,4.734286,0.8642857
2446,2023-09-25 00:00:00,4.893,0.898
2446,2023-09-26 23:00:00,4.886667,0.9216666
2446,2023-09-19 23:00:00,4.807143,0.94
2446,2023-09-18 22:00:00,4.79,0.9166666
2446,2023-10-09 21:00:00,4.8133335,0.9166666
2446,2023-09-27 06:00:00,4.971667,1.045
2446,2023-09-20 08:00:00,4.7766666,0.9166666
2446,2023-09-30 22:00:00,4.8389997,0.898
2446,2023-10-03 00:00:00,4.9533334,1.25
2446,2023-10-09 18:00:00,4.741667,0.8833333
2446,2023-10-09 17:00:00,4.757143,0.9142857
2446,2023-09-25 02:00:00,4.92,0.91545457
2446,2023-10-10 01:00:00,4.8614287,0.92142856
2446,2023-09-18 21:00:00,4.755,0.93833333
2446,2023-10-02 12:00:00,4.6116667,1.0166667
2446,2023-09-18 16:00:00,4.9059997,1.3399999
2446,2023-09-27 04:00:00,4.86,0.9
2446,2023-10-07 21:00:00,4.7355556,0.87777776
2446,2023-10-09 06:00:00,4.8685713,1.0385714
2446,2023-09-20 07:00:00,4.82,0.9133333
2446,2023-10-09 15:00:00,4.688333,0.9
